Código do Alimento,Nome do alimento,Código e descrição da preparação,,Energia (kcal),"Proteína
 (g)","Lipídios totais
 (g)","Carboi-
 drato
 (g)",Fibra alimentar total (g)
Cereais e leguminosas,,,,,,,,
6700501,Couve,1,Cru(a),30,"2,45","0,42","5,69","3,6"
6700501,Couve,2,Cozido(a),26,"2,11","0,36","4,91","2,8"
6700501,Couve,5,Frito(a),"47,13","2,11","2,75","4,91","2,8"
6700501,Couve,7,Refogado(a),"47,13","2,11","2,75","4,91","2,8"
6700501,Couve,8,Molho vermelho,"25,6","1,95","0,32",5,"2,54"
6700501,Couve,10,Ao alho e óleo,"47,13","2,11","2,75","4,91","2,8"
6700501,Couve,11,Com manteiga/óleo,"43,85","2,13","2,38","4,91","2,8"
6700501,Couve,12,Ao vinagrete,26,"2,11","0,36","4,91","2,8"
6700501,Couve,13,Ensopado,"47,13","2,11","2,75","4,91","2,8"
6700501,Couve,14,Mingau,26,"2,11","0,36","4,91","2,8"
6700501,Couve,99,Não se aplica,26,"2,11","0,36","4,91","2,8"
6700601,Couve-flor,1,Cru(a),23,"1,84","0,45","4,11","2,3"
6700601,Couve-flor,2,Cozido(a),23,"1,84","0,45","4,11","2,3"
6700601,Couve-flor,5,Frito(a),"55,38","1,84","4,11","4,11","2,3"
6700601,Couve-flor,6,Empanado(a)/à milanesa,"137,44","4,17","9,21","10,31","2,08"
6700601,Couve-flor,7,Refogado(a),"55,38","1,84","4,11","4,11","2,3"
6700601,Couve-flor,12,Ao vinagrete,23,"1,84","0,45","4,11","2,3"
6700601,Couve-flor,99,Não se aplica,23,"1,84","0,45","4,11","2,3"
6700701,Espinafre,1,Cru(a),23,"2,97","0,26","3,75","2,4"
6700701,Espinafre,2,Cozido(a),23,"2,97","0,26","3,75","2,4"
6700701,Espinafre,7,Refogado(a),"45,3","2,97","2,78","3,75","2,4"
6700701,Espinafre,12,Ao vinagrete,23,"2,97","0,26","3,75","2,4"
6700701,Espinafre,99,Não se aplica,23,"2,97","0,26","3,75","2,4"
6700801,Mostarda (verdura),1,Cru(a),26,"2,7","0,2","4,9","3,3"
6700801,Mostarda (verdura),2,Cozido(a),15,"2,26","0,24","2,1",2
6700801,Mostarda (verdura),7,Refogado(a),"43,68","2,26","3,48","2,1",2
6700801,Mostarda (verdura),99,Não se aplica,15,"2,26","0,24","2,1",2
6700901,Repolho,1,Cru(a),25,"1,28","0,1","5,8","2,24"
6700901,Repolho,2,Cozido(a),23,"1,27","0,06","5,51","1,9"
6700901,Repolho,5,Frito(a),"49,77","1,27","3,09","5,51","1,9"
6700901,Repolho,7,Refogado(a),"49,77","1,27","3,09","5,51","1,9"
6700901,Repolho,9,Molho branco,23,"1,27","0,06","5,51","1,9"
6700901,Repolho,10,Ao alho e óleo,"49,77","1,27","3,09","5,51","1,9"
6700901,Repolho,12,Ao vinagrete,23,"1,27","0,06","5,51","1,9"
6700901,Repolho,13,Ensopado,"49,77","1,27","3,09","5,51","1,9"
6700901,Repolho,15,Sopa,"31,44","0,95","0,12","7,01","0,71"
6700901,Repolho,99,Não se aplica,23,"1,27","0,06","5,51","1,9"
6701101,Cebolinha,99,Não se aplica,25,"1,8","0,1","5,65","3,5"
6701301,Agrião,1,Cru(a),25,"2,58","0,66","3,65","1,6"
6701301,Agrião,2,Cozido(a),11,"2,3","0,1","1,29","0,5"
6701301,Agrião,12,Ao vinagrete,11,"2,3","0,1","1,29","0,5"
6701301,Agrião,13,Ensopado,"35,75","2,33","2,9","1,29","0,5"
6701301,Agrião,99,Não se aplica,25,"2,58","0,66","3,65","1,6"
6701401,Taioba,1,Cru(a),34,"2,9","0,9","5,4","4,5"
6701401,Taioba,2,Cozido(a),26,"2,11","0,36","4,91","2,8"
6701401,Taioba,7,Refogado(a),"47,13","2,11","2,75","4,91","2,8"
6701501,Acelga,1,Cru(a),19,"1,8","0,2","3,74","1,6"
6701501,Acelga,2,Cozido(a),14,"1,5","0,17","2,41","1,7"
6701501,Acelga,7,Refogado(a),"47,74","1,5","3,99","2,41","1,7"
6701501,Acelga,99,Não se aplica,19,"1,8","0,2","3,74","1,6"
6701505,Beterraba branca (acelga),2,Cozido(a),14,"1,5","0,17","2,41","1,7"
6701601,Almeirão,1,Cru(a),17,"1,25","0,2","3,35","3,1"
6701601,Almeirão,2,Cozido(a),22,"1,61","0,26","4,31","3,99"
6701601,Almeirão,7,Refogado(a),"52,88","1,61","3,75","4,31","3,99"
6701601,Almeirão,12,Ao vinagrete,22,"1,61","0,26","4,31","3,99"
6701602,Radite,1,Cru(a),17,"1,25","0,2","3,35","3,1"
6701602,Radite,7,Refogado(a),"52,88","1,61","3,75","4,31","3,99"
6701602,Radite,12,Ao vinagrete,22,"1,61","0,26","4,31","3,99"
6701704,Brócolis,1,Cru(a),34,"2,82","0,37","6,64","2,6"
6701704,Brócolis,2,Cozido(a),35,"2,38","0,41","7,18","3,3"
6701704,Brócolis,6,Empanado(a)/à milanesa,"181,23","4,18","11,48","15,43","2,06"
6701704,Brócolis,7,Refogado(a),"60,74","2,38","3,32","7,18","3,3"
6701704,Brócolis,10,Ao alho e óleo,"60,74","2,38","3,32","7,18","3,3"
6701704,Brócolis,12,Ao vinagrete,35,"2,38","0,41","7,18","3,3"
6701704,Brócolis,99,Não se aplica,35,"2,38","0,41","7,18","3,3"
6701801,Serralha,1,Cru(a),23,"2,97","0,26","3,75","2,4"
6701801,Serralha,2,Cozido(a),23,"2,97","0,26","3,75","2,4"
6701801,Serralha,7,Refogado(a),"45,3","2,97","2,78","3,75","2,4"
